timestamp,open,high,low,close,volume,Close time,Quote asset volume,Number of trades,Taker buy base,Taker buy quote,Ignore,symbol,bid_ask_spread,volume_24h,num_trades_24h
2020-01-01,7195.24000000,7255.00000000,7175.15000000,7200.85000000,16792.38816500,1577923199999,121214452.11606228,194010,8946.95553500,64597785.21233434,0,BTCUSDT,0.010000000009313226,18716.95589,5356958
2020-01-02,7200.77000000,7212.50000000,6924.74000000,6965.71000000,31951.48393200,1578009599999,225982341.30114030,302667,15141.61134000,107060829.07806464,0,BTCUSDT,0.00999999999476131,18715.8088,5356731
2020-01-03,6965.49000000,7405.00000000,6871.04000000,7344.96000000,68428.50045100,1578095999999,495098582.96203543,519854,35595.49627300,257713113.85172859,0,BTCUSDT,0.010000000009313226,18716.08195,5356637
2020-01-04,7345.00000000,7404.00000000,7272.21000000,7354.11000000,29987.97497700,1578182399999,219874240.93994811,279370,16369.38224800,120035111.72407165,0,BTCUSDT,0.00999999999476131,18716.02054,5356799
2020-01-05,7354.19000000,7495.00000000,7318.00000000,7358.75000000,38331.08560400,1578268799999,284848683.78917621,329209,19455.36956400,144600094.38965074,0,BTCUSDT,0.00999999999476131,18716.07971,5356868
2020-01-06,7357.64000000,7795.34000000,7346.76000000,7758.00000000,54635.69531600,1578355199999,413330481.22604919,449937,28853.76777000,218411610.65942464,0,BTCUSDT,0.00999999999476131,18716.33429,5357807
2020-01-07,7758.90000000,8207.68000000,7723.71000000,8145.28000000,91171.68466100,1578441599999,724202791.14296263,685315,46192.11154900,366866967.61393177,0,BTCUSDT,0.00999999999476131,18716.59201,5358069
2020-01-08,8145.92000000,8455.00000000,7870.00000000,8055.98000000,112622.64264000,1578527999999,926410232.60450582,830375,55071.10951400,453284250.45453957,0,BTCUSDT,0.00999999999476131,18716.9693,5358179
2020-01-09,8054.72000000,8055.96000000,7750.00000000,7817.76000000,64239.51983000,1578614399999,507258250.47487964,478800,31645.75922100,249899679.33440103,0,BTCUSDT,0.00999999999476131,18717.42978,5358509
2020-01-10,7817.74000000,8199.00000000,7672.00000000,8197.02000000,82406.77744800,1578700799999,652774220.38843703,606101,42361.75530700,335845385.67483303,0,BTCUSDT,0.00999999999476131,18718.50698,5358838
